category,file,status,size,content_type,url
05_近五年煤矿顶板事故通报,2025-08-24襄矿西故县煤业顶板事故调查报告.pdf,OK,38,application/json; charset=utf-8,http://shanxi.chinamine-safety.gov.cn/api/v1/annex/34658
05_近五年煤矿顶板事故通报,2025-02-17安徽潘二煤矿冒顶事故调查报告.pdf,OK,1392502,application/pdf,https://ah.chinamine-safety.gov.cn/gongkai/gk_zfxxgkml/zfxxgkml_zdlyxxgk/zdlyxx_sgdccl/202505/P020250528341966612861.pdf
05_近五年煤矿顶板事故通报,2024-10-23开滦钱家营矿较大顶板事故调查报告.html,OK,26622,text/html,https://hb.chinamine-safety.gov.cn/system/2025/11/05/030364317.shtml
05_近五年煤矿顶板事故通报,2024-07-04承德兴程矿业顶板事故调查报告.html,OK,30307,text/html,http://hb.chinamine-safety.gov.cn/system/2024/12/26/030323620.shtml
05_近五年煤矿顶板事故通报,2024-04-20渑池九六八煤业顶板事故调查报告.pdf,FAIL,0,HTTP Error 404: Not Found,http://hn.chinamine-safety.gov.cn/sitesources/hnsafety/upload/202405/20240531131521232.pdf
05_近五年煤矿顶板事故通报,2024-01-18丰城曲江公司顶板事故调查报告.pdf,OK,312285,application/pdf,http://jx.chinamine-safety.gov.cn/gjksaqjcjjxj/col81292/1989130982816485376/DWr7fCnD.pdf
05_近五年煤矿顶板事故通报,2024-01-14新化兴华煤业顶板事故调查报告.html,FAIL,0,HTTP Error 412: Precondition Failed,https://hun.chinamine-safety.gov.cn/zwgk/jczfxxgk/sgdcbb/202402/t20240223_478501.html
05_近五年煤矿顶板事故通报,2023-11-22甘肃兰阿煤业阿井矿顶板事故调查报告.html,OK,79047,text/html;charset=UTF-8,https://gs.chinamine-safety.gov.cn/web/searchInfo.shtml?infoid=3471900627104044&channelid=1242165970655067
05_近五年煤矿顶板事故通报,2023-11-13四川金刚煤矿顶板涉险事故通报.html,OK,45111,text/html; charset=utf-8,https://sc.chinamine-safety.gov.cn/page/inf_srccb478efd-a929-4ce9-9abf-29ad5d035845.html
05_近五年煤矿顶板事故通报,2023-09-09枣庄王晁煤矿顶板事故调查报告.pdf,OK,1449969,application/pdf,https://sd.chinamine-safety.gov.cn/resource/sdcoal2021/att/202311/b1258440-ffb0-4e8c-afc1-7331f156b34f.pdf
05_近五年煤矿顶板事故通报,2023-08-27新郑煤电顶板事故调查报告.pdf,FAIL,0,HTTP Error 404: Not Found,http://hn.chinamine-safety.gov.cn/sitesources/hnsafety/upload/202309/20230926085731134.pdf
05_近五年煤矿顶板事故通报,2023-07-16山西金达煤业顶板事故调查报告.pdf,OK,38,application/json; charset=utf-8,http://shanxi.chinamine-safety.gov.cn/api/v1/annex/34618
05_近五年煤矿顶板事故通报,2023-03-19宁夏丁家梁煤矿片帮伤人事故调查报告.pdf,FAIL,0,HTTP Error 404: Not Found,https://nx.chinamine-safety.gov.cn/zwgk/sg/202307/P020230731588898950851.pdf
05_近五年煤矿顶板事故通报,2022-10-26宣威烂坝煤矿顶板事故调查报告.pdf,OK,624517,application/pdf,http://yn.chinamine-safety.gov.cn/upload/20230213/2023021318150214.pdf
05_近五年煤矿顶板事故通报,2022-06-30织金兴荣煤矿顶板事故调查报告.pdf,OK,266051,application/pdf,https://gz.chinamine-safety.gov.cn/uploadfiles/202304/12/1646092964201496576.pdf
05_近五年煤矿顶板事故通报,2022-03-22新汶华丰煤矿顶板事故调查报告.pdf,OK,1254924,application/pdf,https://sd.chinamine-safety.gov.cn/resource/sdcoal2021/att/202208/a5ac4198-341b-4356-a2cb-ea2254e3c6e2.pdf
05_近五年煤矿顶板事故通报,2021-11-11贵州猴子田煤矿顶板事故通报.html,FAIL,0,HTTP Error 404: Not Found,https://nx.chinamine-safety.gov.cn/xwzx/gggw/202111/t20211113_461411.html
